Name;Id;D.O.B.;died;Appointed;Date;Age;Noble rank;Family;Spouse(s) / Father of Spouse / Date of Marriage
Ingemar Petri;162;;1530;1495;;;Estate unknown, Bishop;;
Tre Rosor, Ture Jönsson;231;;1532;1497;;;Uradel (Ancient Nobility);Father CR, Father-in-law CR, Sons 228, 230, Son (illegitimate) 175;Anna Johansdotter/Johan Christiernsson Vasa (CR)
Ulv, Bengt Arendsson;238;;1537;1501;;;Uradel (Ancient Nobility);Father CR, Brother 239, Father-in-law CR, Son-in-law CR, Son-in-law II CR;Kerstin Oxenstierna/David Bengtsson Oxenstierna (CR)
Ulv, Johan Arendsson;239;;1523;1501;;;Uradel (Ancient Nobility);Father CR, Brother 238;Agnes Knutsdotter/ Knut Aslaksson Baad af Norge
Kurck, Knut Eriksson;113;by 1460;1535;1504;;;Uradel (Ancient Nobility);Son CR;Elin Kurck /Klas Kurck/ before 4.8. 1489
Posse, Axel Nilsson;163;;c. 1552;1504;;;Uradel (Ancient Nobility);Father CR, Father-in-law CR, Father-in-law II 105, Son 166, Sons-in-law 17, 33, and 13;1. Elsa Nilsdotter Clausen/Nils Clausen (CR)/ 2. Anna Axelsdotter/Axel Mattson Hällekisätten / Vinstorpasläkten (CR)/
Brask, Hans;41;1464;1538;1506;;40;Commoner, Bishop;No Relatives;Unmarried (Catholic bishop)
Stolaätten, Nils Claesson;214;1470;1532;1508;;38;Uradel (Ancient Nobility);Son-in-law III 132;Ebba Arendsdotter Ulv/ Arend Bengtsson Ulv
Gera, Holger Karlsson;74;1470;1541;1509;;39;Uradel (Ancient Nobility);Father CR, Maternal Grandfather CR, Father-in-law CR, Sons 76 and 75, Sons-in-law 25 and 120;Brita Nilsdotter Grip/Nils Bosson Grip (CR)/29.4.1514
Bååt, Henrik Erlandsson;45;;1527;1512;19.1.;;Uradel (Ancient Nobility);Brother 47;Elin/ probably Ulf Pedersson (Ros) till Ervalla
Hällekisättenten, Axel Matsson (younger Vinstorpasläkten);105;by 1475;by 1526;1512;;;Uradel (Ancient Nobility);Son-in-law 163;Brita Eriksdotter/Erik Nilsson/1493
Mikael Nilsson;139;;;1520;;;Uradel (Ancient Nobility)?;No relatives;
Magnus Haraldsson;137;by 1480;by 1550;1522;;;Estate unknowm, Bishop;;Probably unmarried
