Source,Target,Type,Id,Weight
231,228,Undirected,0,1.0
231,230,Undirected,1,1.0
231,175,Undirected,2,1.0
238,239,Undirected,3,1.0
239,238,Undirected,4,1.0
163,105,Undirected,5,1.0
163,166,Undirected,6,1.0
163,17,Undirected,7,1.0
163,33,Undirected,8,1.0
163,13,Undirected,9,1.0
214,132,Undirected,10,1.0
74,76,Undirected,11,1.0
74,75,Undirected,12,1.0
74,25,Undirected,13,1.0
74,120,Undirected,14,1.0
45,47,Undirected,15,1.0
105,163,Undirected,16,1.0
34,33,Undirected,17,1.0
47,45,Undirected,18,1.0
47,42,Undirected,19,1.0
47,46,Undirected,20,1.0
66,68,Undirected,21,1.0
66,64,Undirected,22,1.0
68,66,Undirected,23,1.0
124,51,Undirected,24,1.0
128,130,Undirected,25,1.0
130,128,Undirected,26,1.0
130,131,Undirected,27,1.0
198,233,Undirected,28,1.0
198,193,Undirected,29,1.0
114,115,Undirected,30,1.0
104,46,Undirected,31,1.0
22,13,Undirected,32,1.0
22,187,Undirected,33,1.0
133,118,Undirected,34,1.0
133,132,Undirected,35,1.0
228,231,Undirected,36,1.0
228,227,Undirected,37,1.0
232,233,Undirected,38,1.0
232,153,Undirected,39,1.0
73,72,Undirected,40,1.0
73,76,Undirected,41,1.0
82,44,Undirected,42,1.0
77,78,Undirected,43,1.0
77,79,Undirected,44,1.0
77,80,Undirected,45,1.0
77,33,Undirected,46,1.0
83,88,Undirected,47,1.0
83,210,Undirected,48,1.0
83,85,Undirected,49,1.0
83,225,Undirected,50,1.0
59,227,Undirected,51,1.0
109,42,Undirected,52,1.0
206,203,Undirected,53,1.0
206,208,Undirected,54,1.0
206,40,Undirected,55,1.0
206,64,Undirected,56,1.0
206,227,Undirected,57,1.0
233,232,Undirected,58,1.0
233,43,Undirected,59,1.0
233,198,Undirected,60,1.0
262,113,Undirected,61,1.0
262,209,Undirected,62,1.0
120,118,Undirected,63,1.0
120,74,Undirected,64,1.0
120,122,Undirected,65,1.0
4,5,Undirected,66,1.0
4,9,Undirected,67,1.0
118,120,Undirected,68,1.0
118,133,Undirected,69,1.0
118,121,Undirected,70,1.0
118,123,Undirected,71,1.0
118,21,Undirected,72,1.0
118,38,Undirected,73,1.0
118,79,Undirected,74,1.0
40,206,Undirected,75,1.0
40,193,Undirected,76,1.0
40,36,Undirected,77,1.0
40,37,Undirected,78,1.0
40,38,Undirected,79,1.0
153,232,Undirected,80,1.0
153,150,Undirected,81,1.0
153,156,Undirected,82,1.0
153,115,Undirected,83,1.0
153,165,Undirected,84,1.0
153,169,Undirected,85,1.0
217,215,Undirected,86,1.0
217,216,Undirected,87,1.0
217,5,Undirected,88,1.0
217,16,Undirected,89,1.0
217,23,Undirected,90,1.0
217,25,Undirected,91,1.0
217,203,Undirected,92,1.0
230,231,Undirected,93,1.0
230,69,Undirected,94,1.0
13,163,Undirected,95,1.0
13,22,Undirected,96,1.0
13,17,Undirected,97,1.0
13,91,Undirected,98,1.0
13,156,Undirected,99,1.0
42,47,Undirected,100,1.0
42,46,Undirected,101,1.0
42,109,Undirected,102,1.0
42,43,Undirected,103,1.0
42,44,Undirected,104,1.0
46,47,Undirected,105,1.0
46,42,Undirected,106,1.0
46,104,Undirected,107,1.0
25,74,Undirected,108,1.0
25,217,Undirected,109,1.0
25,18,Undirected,110,1.0
25,21,Undirected,111,1.0
88,83,Undirected,112,1.0
88,91,Undirected,113,1.0
75,74,Undirected,114,1.0
75,92,Undirected,115,1.0
227,228,Undirected,116,1.0
227,59,Undirected,117,1.0
227,206,Undirected,118,1.0
175,231,Undirected,119,1.0
76,74,Undirected,120,1.0
76,73,Undirected,121,1.0
76,150,Undirected,122,1.0
91,88,Undirected,123,1.0
91,13,Undirected,124,1.0
91,86,Undirected,125,1.0
91,28,Undirected,126,1.0
91,36,Undirected,127,1.0
91,180,Undirected,128,1.0
91,191,Undirected,129,1.0
33,34,Undirected,130,1.0
33,163,Undirected,131,1.0
33,77,Undirected,132,1.0
33,208,Undirected,133,1.0
69,230,Undirected,134,1.0
69,14,Undirected,135,1.0
80,77,Undirected,136,1.0
92,75,Undirected,137,1.0
92,159,Undirected,138,1.0
16,217,Undirected,139,1.0
27,212,Undirected,140,1.0
27,28,Undirected,141,1.0
27,86,Undirected,142,1.0
131,130,Undirected,143,1.0
96,216,Undirected,144,1.0
269,263,Undirected,145,1.0
269,225,Undirected,146,1.0
269,249,Undirected,147,1.0
203,206,Undirected,148,1.0
203,208,Undirected,149,1.0
203,217,Undirected,150,1.0
203,205,Undirected,151,1.0
5,4,Undirected,152,1.0
5,217,Undirected,153,1.0
5,9,Undirected,154,1.0
5,5,Undirected,155,1.0
5,7,Undirected,156,1.0
5,8,Undirected,157,1.0
5,10,Undirected,158,1.0
5,152,Undirected,159,1.0
5,197,Undirected,160,1.0
17,13,Undirected,161,1.0
17,163,Undirected,162,1.0
17,14,Undirected,163,1.0
64,66,Undirected,164,1.0
64,206,Undirected,165,1.0
