Id;Name
162;Ingemar Petri
231;Tre Rosor, Ture Jönsson
238;Ulv, Bengt Arendsson
239;Ulv, Johan Arendsson
113;Kurck, Knut Eriksson
163;Posse, Axel Nilsson
41;Brask, Hans
214;Stolaätten, Nils Claesson
74;Gera, Holger Karlsson
45;Bååt, Henrik Erlandsson
105;Hällekisättenten, Axel Matsson (younger Vinstorpasläkten)
139;Mikael Nilsson
137;Magnus Haraldsson
34;Bonde, Tord Magnusson
47;Bååt, Per Erlandsson
60;Erik Svensson
66;Fleming, Erik Joakimsson
68;Fleming, Ivar Joakimsson
71;Forstenaätten, Per Hansson
136;Johannes Magni
124;Lepasätten, Björn Claesson
128;Lillie af Ökna, Axel Andersson
130;Lillie af Ökna, Knut Andersson
127;Lilliesparre, Ture Bengtsson
138;Melen, Berend Hansson von
186;Sommar, Magnus
198;Sparre af Rossvik, Lars Siggesson
218;Sunnanväder, Per Jakobsson
242;Vinge, Nils Olofsson
103;Hoya, Johan af 
114;Kyle, Claes Påvelsson
117;Laurentius Andrae
161;Per Månsson
104;Hård av Häringe, Per Larsson
22;Bielke, Ture Eriksson
133;Lilliehöök af Fårdala, Måns Bryntesson
228;Tre Rosor, Johan Turesson
232;Trolle, Erik Arvidsson
73;Färla, Bengt Nilsson
82;Gyllenhorn, Joen Olsson
142;Natt och Dag, Måns Johansson
185;Sledorn, Henrik
77;Grip, Birger Nilsson
83;Gyllenstierna, Carl Eriksson
219;Sven Jakobsson
59;Ekeblad av Hedåker, Christoffer Andersson
109;Krumme, Nils Nilsson
206;Stenbock, Gustaf Olofsson
233;Trolle, Ture Arvidsson
168;Pyhy, Conrad von
262;Kurck, Jöns Knutsson
120;Leijonhufvud, Abraham Eriksson
4;Banér, Axel Nilsson
118;Lewenhaupt (Leijonhufvud), Sten Eriksson
144;Norman, Georg
40;Brahe, Per d.ä. Joakimsson
153;Oxenstierna af Eka och Lindö, Gabriel Christersson
217;Sture, Svante Stensson
230;Tre Rosor, Lars Turesson
13;Bielke, Axel Eriksson
42;Bååt, Björn Pedersson
46;Bååt, Johan Persson
25;Bielke, Ture Pedersson
88;Gyllenstierna, Göran Eriksson
75;Gera, Jöran Holgersson
227;Tre Rosor, Gustaf Johansson
175;Rosengren, Jacob Turesson
76;Gera, Karl Holgersson
91;Gyllenstierna, Nils Göransson
33;Bonde, Jöns Tordsson
69;Fleming, Lars Ivarsson
80;Grip, Nils Birgersson
92;Gylta, Bengt Bengtsson
12;Beurraeus, Dionysius
16;Bielke, Hogenskild Nilsson
27;Bielkenstierna, Hans Claesson
131;Lillie af Ökna, Knut Knutsson
62;Fincke, Jöran Gödiksson
96;Horn, Claes Kristersson d.ä.
209;Stiernkors, Ivar Månsson
269;Horn af Kanckas, Henrik Claesson
203;Stenbock, Erik Gustafsson
5;Baner, Gustaf Axelsson
17;Bielke, Johan Axelsson
64;Fleming, Claes Eriksson
78;Grip, Bo Birgersson
85;Gyllenstierna, Erik Carlsson
115;Kyle, Hans Klasson
132;Lilliehöök af Fårdala, Anders Pedersson
166;Posse, Knut Axelsson
187;Some, Måns Svensson
208;Stenbock, Olof Gustafsson
72;Färla, Åke Bengtsson
225;Tott, Claes Åkesson
193;Sparre af Rossvik, Erik Larsson
210;Stiernskiöld, Claes Göransson
9;Banér, Sten Axelsson
14;Bielke, Claes Nilsson
57;De la Gardie, Pontus
150;Oxenstierna af Eka och Lindö, Christer Gabrielsson
216;Sture, Mauritz  Svantesson (Natt och Dag)
23;Bielke, Ture Nilsson
37;Brahe, Erik Persson
121;Lewenhaupt, Axel Stensson
79;Grip, Mauritz Birgersson
169;Ribbing, Bengt Svensson
250;Bielke, Axel Johansson
122;Leijonhufvud, Erik Abrahamsson
44;Bååt, Gustaf Björnsson
156;Oxenstierna af Eka och Lindö, Gustaf Gabrielsson
165;Posse, Göran Knutsson
21;Bielke, Svante Turesson
29;Boije, Jöran Nilsson
36;Brahe, Abraham Persson
38;Brahe, Magnus Persson
51;Cruus af Edeby, Mats Larsson
86;Gyllenstierna, Jöran Nilsson
263;Horn af Kanckas, Arvid Henriksson
107;Kauer, Ludbert Didriksson
123;Lewenhaupt, Moritz Stensson
159;Oxenstierna af Eka och Lindö, Johan Gabrielsson
171;Ribbing, Erik Svensson
272;Ribbing, Peder Svensson
174;Ribbing, Seved Svensson
178;Ryning, Axel Nilsson
212;Stiernskiöld, Göran Claesson
236;Ulfsparre, Jöran Eriksson
134;Lilliehöök af Fårdala, Nils Andersson
170;Ribbing, Bo Svensson
180;Ryning, Peder Nilsson
235;Ulfsparre, Hans Eriksson
18;Bielke, Nils Turesson
43;Bååt, Erland Björnsson
52;Cruus, Jesper Mattsson
145;Oxenstierna af Södermöre, Axel Gustafsson
190;Soop, Hans Åkesson
205;Stenbock, Gustaf Eriksson
101;Horn af Kanckas, Henrik Carlsson
28;Bielkenstierna, Hans Claesson
53;De la Gardie, Jacob Pontusson
181;Scheiding, Filip Christoffersson von
81;Gyllenhielm, Carl Carlsson
95;Horn, Claes Carlsson
119;Leijonhufvud, Abraham Eriksson
155;Oxenstierna af Eka och Lindö, Gabriel Gustafsson
152;Oxenstierna af Korsholm och Wasa, Gabriel Bengtsson
184;Skytte, Johan Bengtsson (Schroderus)
213;Stiernskiöld, Nils Göransson
10;Banér, Svante Gustafsson
172;Ribbing, Lindorm Pedersson
8;Banér, Per Gustafsson
63;Fleming, Klas Larsson
98;Horn af Kanckas, Gustaf Carlsson
149;Oxenstierna af Eka och Lindö, Carl Eriksson
191;Soop af Limingo, Matthias Hansson
196;Sparre af Rossvik, Johan Eriksson
7;Banér, Johan Gustafsson
39;Brahe, Per Abrahamsson
226;Tott, Åke Henriksson
245;Wrangel, Herman Hansson
3;Banér, Axel Gustafsson
19;Bielke, Sten Svantesson
30;Bonde, Carl Filipsson
55;De la Gardie, Johan Pontusson
111;Kurck, Jöns Knutsson
143;Natt och Dag, Åke Axelsson
179;Ryning, Erik Eriksson
199;Sparre, Per Eriksson
97;Horn af Åminne, Clas Christersson
99;Horn, Gustaf Christersson
158;Oxenstierna af Södermöre, Johan Axelsson
24;Bielke, Ture Nilsson
106;Kagg, Lars Nilsson
146;Oxenstierna af Eka och Lindö, Bengt Bengtsson
167;Posse af Hedensund, Knut Göransson
197;Sparre af Rossvik, Lars Eriksson
223;Torstensson, Lennart Torstensson
48;Bååt, Seved Bosson
84;Gyllenstierna, Erik Carlsson
157;Oxenstierna af Croneborg, Gustaf Gabrielsson
200;Sparre, Ture Eriksson
204;Stenbock, Fredrik Gustafsson
241;Vasaborg, Gustaf Gustafsson af
244;Wrangel, Carl Gustaf Hermansson
56;De la Gardie, Magnus Gabriel Jacobsson
2;Adler Salvius, Johan
129;Lillie, Axel Gustafsson
183;Skytte, Bengt Johansson
237;Ulfsparre, Åke Hansson
15;Bielke, Gustaf Nilsson
67;Fleming, Herman Claesson
126;Lewenhaupt, Gustaf Adolf Johansson
177;Rosenhane, Schering Johansson
202;Stenbock, Erik Gustafsson
11;Berendes, Johan
116;Königsmarck, Hans Kristoffer
135;Linde, Lorentz Eriksson von der
151;Oxenstierna af Södermöre, Erik Axelsson
207;Stenbock, Gustaf Otto Gustafsson
240;Wachtmeister, Hans Claesson
243;Wittenberg, Arvid Hansson
6;Banér, Gustaf Persson
61;Falkenberg, Konrad
31;Bonde, Christer Carlsson
32;Bonde, Gustaf Carlsson
54;De la Gardie, Jakob Casimir Jacobsson
70;Forbus, Arvid
100;Horn af Björneborg, Gustaf Evertsson
108;Khevenhüller, Paul
125;Lewenhaupt, Karl Mauritz Johansson
